botid, date, time, press, atp, 
#, mmddyy, hhmmss, dbar, ng/kg, 
1740201305, 100905, 095508,  149.2,   5.58,
1750201824, 111305, 130726,    8.8,  41.04,
1750201823, 111305, 130511,   23.8,  42.77,
1750201811, 111305, 130151,   43.9,  33.96,
1750201810, 111305, 130021,   74.9,  33.47,
1750201809, 111305, 125850,   98.7,  30.61,
1750201808, 111305, 125701,  123.4,  20.75,
1750201807, 111305, 125542,  149.0,  10.10,
1760200518, 121305, 005551,    5.6,  27.50,
1760200516, 121305, 005401,   25.9,  24.75,
1760200514, 121305, 005231,   45.2,  19.09,
1760200512, 121305, 005032,   75.5,  23.78,
1760200510, 121305, 004826,  101.6,  25.28,
1760200508, 121305, 004631,  125.2,  13.26,
1760200506, 121305, 004451,  150.8,   7.10,
1770200221, 012506, 085329,    6.1,  26.93,
1770200213, 012506, 084710,   44.9,  30.10,
1770200210, 012506, 084439,   77.7,  24.27,
1770200207, 012506, 084240,  101.6,  29.46,
1770200204, 012506, 084016,  122.2,  18.76,
1770200203, 012506, 083829,  150.0,  20.68,
1780200623, 021506, 011331,    6.8,  29.97,
1780200622, 021506, 011043,   25.7,  22.57,
1780200610, 021506, 010644,   44.1,  24.12,
1780200609, 021506, 010443,   73.1,  19.69,
1780200608, 021506, 010319,  100.6,  27.00,
1780200607, 021506, 010148,  123.7,   9.45,
1780200606, 021506, 005954,  148.8,   4.52,
1790200811, 031006, 005518,    4.6,  29.69,
1790200810, 031006, 005323,   27.0,  22.29,
1790200809, 031006, 005153,   44.5,  23.84,
1790200808, 031006, 005033,   74.6,  19.41,
1790200807, 031006, 004913,   99.5,  22.91,
1790200806, 031006, 004732,  124.0,  22.67,
1790200805, 031006, 004607,  148.0,  10.36,
1800200519, 040206, 015627,    8.7,  34.97,
1800200518, 040206, 015317,   26.0,  44.67,
1800200517, 040206, 015128,   45.1,  36.47,
1800200516, 040206, 014937,   75.4,  37.89,
