botid, date, time, press, dop, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0690200721, 011796, 075754,    4.6,   0.23,
0690200720, 011796, 075656,   14.5,   0.23,
0690200718, 011796, 075546,   24.9,   0.24,
0690200717, 011796, 075452,   34.8,   0.25,
0690200716, 011796, 075348,   44.8,   0.26,
0690200715, 011796, 075242,   59.6,   0.27,
0690200714, 011796, 075136,   74.6,   0.26,
0690200713, 011796, 075032,   84.3,   0.24,
0690200712, 011796, 074934,   94.4,   0.23,
0690200711, 011796, 074834,  104.4,   0.23,
0690200710, 011796, 074734,  114.4,   0.21,
0690200709, 011796, 074628,  124.8,   0.17,
0690200708, 011796, 074520,  134.9,   0.17,
0690200707, 011796, 074412,  149.5,   0.16,
0690200706, 011796, 074312,  160.0,   0.15,
0690200705, 011796, 074208,  174.4,   0.13,
0690200704, 011796, 074114,  184.4,   0.13,
0690200703, 011796, 074004,  200.3,   0.11,
0700200622, 032796, 080100,    4.8,   0.24,
0700200620, 032796, 075952,   13.1,   0.24,
0700200618, 032796, 075824,   24.4,   0.24,
0700200617, 032796, 075726,   34.0,   0.21,
0700200616, 032796, 075626,   44.3,   0.23,
0700200615, 032796, 075518,   58.8,   0.23,
0700200614, 032796, 075412,   72.8,   0.21,
0700200613, 032796, 075314,   84.4,   0.20,
0700200612, 032796, 075216,   95.2,   0.20,
0700200611, 032796, 075112,  104.6,   0.22,
0700200610, 032796, 075008,  114.7,   0.21,
0700200609, 032796, 074912,  123.7,   0.18,
0700200608, 032796, 074824,  134.0,   0.19,
0700200607, 032796, 074724,  148.7,   0.15,
0700200605, 032796, 074532,  173.0,   0.14,
0700200603, 032796, 074340,  199.6,   0.14,
0710200624, 042496, 070429,    2.2,   0.21,
0710200622, 042496, 070331,    4.6,   0.19,
0710200621, 042496, 070207,   14.9,   0.20,
0710200619, 042496, 070105,   23.6,   0.20,
0710200618, 042496, 065939,   34.3,   0.17,
0710200617, 042496, 065833,   44.1,   0.18,
0710200616, 042496, 065725,   59.0,   0.19,
0710200615, 042496, 065613,   74.1,   0.21,
0710200614, 042496, 065503,   84.4,   0.18,
0710200613, 042496, 065353,   94.2,   0.19,
0710200612, 042496, 065247,  104.1,   0.17,
0710200611, 042496, 065137,  114.8,   0.17,
0710200610, 042496, 065037,  123.9,   0.17,
0710200609, 042496, 064921,  134.5,   0.18,
0710200608, 042496, 064807,  150.5,   0.15,
0710200606, 042496, 064545,  174.5,   0.15,
0710200604, 042496, 064243,  200.8,   0.10,
0720200221, 052296, 060931,    5.1,   0.22,
0720200220, 052296, 060826,   15.3,   0.21,
0720200218, 052296, 060707,   24.6,   0.21,
0720200217, 052296, 060554,   35.1,   0.20,
0720200216, 052296, 060452,   44.5,   0.21,
0720200215, 052296, 060328,   61.1,   0.21,
0720200214, 052296, 060206,   75.1,   0.20,
0720200213, 052296, 060053,   85.0,   0.21,
0720200212, 052296, 055936,   94.3,   0.19,
0720200211, 052296, 055826,  105.1,   0.17,
0720200210, 052296, 055720,  116.3,   0.17,
0720200209, 052296, 055600,  125.0,   0.16,
