botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
0840210004, 060497, -00009,  100.0,  1.880,
0840210003, 060497, -00009,  125.0,  0.924,
0840210002, 060497, -00009,  150.0,  0.155,
0840210001, 060497, -00009,  175.0,  0.010,
0850210008, 070997, -00009,    5.0,  2.182,
0850210007, 070997, -00009,   25.0,  2.199,
0850210006, 070997, -00009,   45.0,  2.172,
0850210005, 070997, -00009,   75.0,  2.651,
0850210004, 070997, -00009,  100.0,  2.104,
0850210003, 070997, -00009,  125.0,  0.672,
0850210002, 070997, -00009,  150.0,  0.146,
0860210008, 080297, -00009,    5.0,  2.865,
0860210007, 080297, -00009,   25.0,  2.891,
0860210006, 080297, -00009,   45.0,  3.553,
0860210005, 080297, -00009,   75.0,  3.475,
0860210004, 080297, -00009,  100.0,  3.066,
0860210003, 080297, -00009,  125.0,  0.541,
0860210002, 080297, -00009,  150.0,  0.200,
0860210001, 080297, -00009,  175.0,  0.219,
0870210008, 092597, -00009,    5.0,  2.528,
0870210007, 092597, -00009,   25.0,  2.533,
0870210006, 092597, -00009,   45.0,  2.184,
0870210005, 092597, -00009,   75.0,  3.147,
0870210004, 092597, -00009,  100.0,  2.938,
0870210003, 092597, -00009,  125.0,  0.924,
0870210002, 092597, -00009,  150.0,  0.254,
0890210008, 011198, -00009,    5.0,  2.154,
0890210007, 011198, -00009,   25.0,  1.895,
0890210006, 011198, -00009,   45.0,  2.007,
0890210005, 011198, -00009,   75.0,  0.952,
0890210004, 011198, -00009,  100.0,  0.759,
0890210003, 011198, -00009,  125.0,  0.401,
0890210002, 011198, -00009,  150.0,  0.032,
0890210001, 011198, -00009,  175.0,  0.065,
0900210008, 021998, -00009,    5.0,  1.861,
0900210007, 021998, -00009,   25.0,  2.185,
0900210006, 021998, -00009,   45.0,  2.142,
0900210005, 021998, -00009,   75.0,  2.419,
0900210004, 021998, -00009,  100.0,  0.957,
0900210003, 021998, -00009,  125.0,  0.330,
0910210008, 031898, -00009,    5.0,  2.358,
0910210007, 031898, -00009,   25.0,  2.760,
0910210006, 031898, -00009,   45.0,  2.862,
0910210005, 031898, -00009,   75.0,  2.090,
0910210004, 031898, -00009,  100.0,  0.756,
0910210003, 031898, -00009,  125.0,  0.361,
