botid, date, time, press, chl, 
#, mmddyy, hhmmss, dbar, ug/l, 
0590200505, 112094, 072743,  173.0,   0.02,
0590200503, 112094, 072524,  200.0,   0.01,
0590200615, 112094, 104440,    5.6,   0.13,
0590200614, 112094, 104245,   26.1,   0.14,
0590200613, 112094, 104124,   45.9,   0.14,
0590200612, 112094, 103940,   76.1,   0.14,
0590200611, 112094, 103831,   90.1,   0.18,
0590200610, 112094, 103728,   99.4,   0.27,
0590200609, 112094, 103625,  109.9,   0.25,
0590200608, 112094, 103511,  128.6,   0.14,
0590200607, 112094, 103245,  149.4,   0.10,
0590200606, 112094, 103116,  175.9,   0.03,
0600200522, 020695, 075910,    4.9,   0.09,
0600200521, 020695, 075809,   14.9,   0.08,
0600200519, 020695, 075652,   23.2,   0.08,
0600200518, 020695, 075556,   34.1,   0.09,
0600200517, 020695, 075505,   43.8,   0.08,
0600200516, 020695, 075410,   59.8,   0.12,
0600200515, 020695, 075314,   74.9,   0.16,
0600200514, 020695, 075220,   84.8,   0.21,
0600200513, 020695, 075139,   95.5,   0.19,
0600200512, 020695, 075053,  104.3,   0.23,
0600200511, 020695, 075008,  113.5,   0.26,
0600200510, 020695, 074902,  120.3,   0.26,
0600200509, 020695, 074812,  123.8,   0.23,
0600200508, 020695, 074717,  133.6,   0.14,
0600200507, 020695, 074619,  149.8,   0.10,
0600200506, 020695, 074522,  160.2,   0.07,
0600200505, 020695, 074424,  175.1,   0.03,
0600200503, 020695, 074227,  199.5,   0.01,
0600210008, 020795, -00009,    5.0,   0.09,
0600210007, 020795, -00009,   25.0,   0.09,
0600210006, 020795, -00009,   45.0,   0.09,
0600210005, 020795, -00009,   75.0,   0.11,
0600210004, 020795, -00009,  100.0,   0.15,
0600210003, 020795, -00009,  125.0,   0.22,
0600210002, 020795, -00009,  150.0,   0.11,
0610200422, 030495, 080036,    5.5,   0.08,
0610200421, 030495, 075930,   15.0,   0.08,
0610200419, 030495, 075819,   25.5,   0.08,
0610200418, 030495, 075717,   34.0,   0.07,
0610200417, 030495, 075600,   44.7,   0.08,
0610200416, 030495, 075458,   57.9,   0.12,
0610200415, 030495, 075325,   78.0,   0.16,
0610200414, 030495, 075206,   85.2,   0.23,
0610200413, 030495, 075058,   96.0,   0.24,
0610200411, 030495, 074833,  111.9,   0.18,
0610200410, 030495, 074728,  123.6,   0.15,
0610200409, 030495, 074631,  134.2,   0.09,
0610200408, 030495, 074542,  139.1,   0.08,
0610200407, 030495, 074441,  149.2,   0.08,
0610200405, 030495, 074228,  174.9,   0.02,
