botid, date, time, press, alk, 
#, mmddyy, hhmmss, dbar, ueq/kg, 
0780200612, 121196, 092127,   95.7,  2291,
0780200611, 121196, 092011,  105.1,  2303,
0780200610, 121196, 091853,  114.6,  2302,
0780200609, 121196, 091743,  125.0,  2299,
0780200608, 121196, 091611,  135.4,  2304,
0780200607, 121196, 091445,  149.4,  2296,
0780200606, 121196, 091331,  159.9,  2297,
0780200605, 121196, 091213,  174.7,  2291,
0780200604, 121196, 091055,  183.8,  2283,
0780200603, 121196, 090913,  199.9,  2282,
0790200622, 010897, 080555,    4.3,  2291,
0790200621, 010897, 080433,   14.2,  2297,
0790200619, 010897, 080311,   24.3,  2297,
0790200618, 010897, 080143,   34.4,  2297,
0790200617, 010897, 080003,   44.2,  2292,
0790200616, 010897, 075835,   59.3,  2296,
0790200615, 010897, 075713,   75.0,  2305,
0790200614, 010897, 075539,   84.8,  2299,
0790200613, 010897, 075421,   94.4,  2298,
0790200612, 010897, 075301,  104.5,  2300,
0790200611, 010897, 075149,  114.1,  2299,
0790200610, 010897, 075025,  124.9,  2301,
0790200609, 010897, 074903,  134.9,  2302,
0790200608, 010897, 074717,  149.9,  2302,
0790200607, 010897, 074559,  159.3,  2294,
0790200606, 010897, 074431,  175.0,  2289,
0790200605, 010897, 074303,  185.8,  2288,
0790200604, 010897, 074139,  199.8,  2287,
0800200622, 021897, 070826,    4.5,  2290,
0800200621, 021897, 070712,   15.2,  2286,
0800200619, 021897, 070558,   24.5,  2288,
0800200618, 021897, 070438,   33.9,  2291,
0800200617, 021897, 070324,   44.4,  2287,
0800200616, 021897, 070158,   60.1,  2294,
0800200615, 021897, 070040,   74.5,  2289,
0800200614, 021897, 065934,   84.4,  2295,
0800200613, 021897, 065814,   94.2,  2292,
0800200612, 021897, 065708,  104.7,  2293,
0800200611, 021897, 065548,  114.4,  2296,
0800200610, 021897, 065434,  124.5,  2292,
0800200609, 021897, 065316,  135.8,  2294,
0800200608, 021897, 065144,  150.0,  2301,
0800200607, 021897, 065040,  160.0,  2298,
0800200606, 021897, 064920,  174.1,  2301,
0800200605, 021897, 064750,  184.2,  2301,
0810200622, 031297, 070732,    4.5,  2301,
0810200621, 031297, 070624,   14.5,  2301,
0810200619, 031297, 070456,   24.8,  2303,
0810200617, 031297, 070232,   44.6,  2303,
0810200616, 031297, 070114,   59.9,  2303,
0810200615, 031297, 065946,   75.2,  2302,
0810200614, 031297, 065832,   85.5,  2303,
0810200612, 031297, 065606,  105.0,  2303,
0810200611, 031297, 065454,  115.4,  2304,
0810200610, 031297, 065404,  119.0,  2303,
0810200609, 031297, 065306,  124.2,  2303,
0810200608, 031297, 065150,  134.9,  2303,
0810200607, 031297, 065036,  150.2,  2301,
0820200622, 040997, 070830,    5.1,  2302,
0820200621, 040997, 070724,   15.2,  2300,
0820200619, 040997, 070614,   25.4,  2300,
0820200618, 040997, 070504,   34.9,  2298,
0820200617, 040997, 070352,   44.3,  2302,
0820200616, 040997, 070204,   60.1,  2310,
0820200615, 040997, 070052,   75.0,  2310,
0820200614, 040997, 065938,   85.1,  2303,
0820200613, 040997, 065826,   95.0,  2302,
0820200612, 040997, 065718,  105.1,  2303,
0820200610, 040997, 065444,  125.0,  2299,
0820200609, 040997, 065334,  134.8,  2293,
0820200608, 040997, 065216,  149.9,  2288,
0820200607, 040997, 065110,  159.8,  2285,
