botid, date, time, press, lln, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0700200620, 032796, 075952,   13.1,    3.5,
0700200618, 032796, 075824,   24.4,    0.9,
0700200617, 032796, 075726,   34.0,    1.2,
0700200616, 032796, 075626,   44.3,    0.5,
0700200615, 032796, 075518,   58.8,    0.3,
0700200614, 032796, 075412,   72.8,    0.7,
0700200613, 032796, 075314,   84.4,    1.2,
0700200612, 032796, 075216,   95.2,    0.7,
0700200611, 032796, 075112,  104.6,    0.5,
0700200610, 032796, 075008,  114.7,  166.9,
0700200609, 032796, 074912,  123.7,  422.0,
0700200608, 032796, 074824,  134.0,  864.9,
0710200624, 042496, 070429,    2.2,    0.0,
0710200622, 042496, 070331,    4.6,    0.3,
0710200621, 042496, 070207,   14.9,    0.6,
0710200619, 042496, 070105,   23.6,    0.5,
0710200618, 042496, 065939,   34.3,    0.0,
0710200617, 042496, 065833,   44.1,    0.3,
0710200616, 042496, 065725,   59.0,    0.3,
0710200615, 042496, 065613,   74.1,    0.2,
0710200614, 042496, 065503,   84.4,    0.4,
0710200613, 042496, 065353,   94.2,    0.2,
0710200612, 042496, 065247,  104.1,   10.4,
0710200611, 042496, 065137,  114.8,   68.0,
0710200610, 042496, 065037,  123.9,   60.8,
0710200609, 042496, 064921,  134.5,   42.3,
0710200608, 042496, 064807,  150.5,  244.4,
0710200606, 042496, 064545,  174.5, 1180.5,
0720200221, 052296, 060931,    5.1,    0.8,
0720200220, 052296, 060826,   15.3,    0.0,
0720200218, 052296, 060707,   24.6,    1.5,
0720200217, 052296, 060554,   35.1,    0.2,
0720200216, 052296, 060452,   44.5,    0.0,
0720200215, 052296, 060328,   61.1,    0.3,
0720200214, 052296, 060206,   75.1,    0.2,
0720200213, 052296, 060053,   85.0,    0.6,
0720200212, 052296, 055936,   94.3,    0.0,
0720200211, 052296, 055826,  105.1,    0.3,
0720200210, 052296, 055720,  116.3,    0.2,
0720200209, 052296, 055600,  125.0,   19.2,
0720200208, 052296, 055452,  134.8,  664.6,
0730200621, 062696, 070357,   14.7,    0.9,
0730200619, 062696, 070225,   24.6,    0.5,
0730200618, 062696, 070111,   35.2,    0.4,
0730200615, 062696, 065721,   74.4,    1.6,
0730200614, 062696, 065607,   84.5,    1.0,
0730200613, 062696, 065503,   94.9,    0.3,
0730200612, 062696, 065357,  104.7,    1.1,
0730200611, 062696, 065249,  114.5,   11.0,
0730200609, 062696, 065015,  134.0,  169.6,
0730200608, 062696, 064907,  150.0,  384.0,
0730200607, 062696, 064801,  159.0,  529.2,
0740200622, 072796, 065559,    4.5,    0.5,
0740200621, 072796, 065505,   14.4,    0.6,
0740200619, 072796, 065405,   24.3,    0.2,
0740200618, 072796, 065301,   33.9,    0.9,
0740200617, 072796, 065203,   44.6,    0.8,
0740200616, 072796, 065111,   58.9,    0.6,
0740200615, 072796, 065009,   74.8,    0.5,
0740200614, 072796, 064917,   84.5,    0.5,
0740200613, 072796, 064817,   95.1,    0.4,
0740200612, 072796, 064729,  103.8,    1.0,
0740200611, 072796, 064629,  113.7,    9.3,
0740200610, 072796, 064535,  124.2,  215.1,
