botid, date, time, press, llp, 
#, mmddyy, hhmmss, dbar, nmol/kg, 
0690200711, 011796, 074834,  104.4,   96.7,
0690200709, 011796, 074628,  124.8,  155.3,
0690200707, 011796, 074412,  149.5,  166.0,
0690200705, 011796, 074208,  174.4,  213.9,
0700200622, 032796, 080100,    4.8,   67.4,
0700200620, 032796, 075952,   13.1,   65.4,
0700200618, 032796, 075824,   24.4,   71.3,
0700200617, 032796, 075726,   34.0,   63.5,
0700200616, 032796, 075626,   44.3,   71.3,
0700200615, 032796, 075518,   58.8,   67.4,
0700200614, 032796, 075412,   72.8,   48.8,
0700200613, 032796, 075314,   84.4,   50.8,
0700200610, 032796, 075008,  114.7,   91.8,
0700200609, 032796, 074912,  123.7,  130.9,
0700200607, 032796, 074724,  148.7,  252.9,
0700200605, 032796, 074532,  173.0,  288.1,
0700200603, 032796, 074340,  199.6,  379.0,
0710200624, 042496, 070429,    2.2,   50.8,
0710200622, 042496, 070331,    4.6,   50.8,
0710200621, 042496, 070207,   14.9,   44.0,
0710200619, 042496, 070105,   23.6,   46.9,
0710200618, 042496, 065939,   34.3,   56.7,
0710200617, 042496, 065833,   44.1,   45.9,
0710200616, 042496, 065725,   59.0,   36.1,
0710200615, 042496, 065613,   74.1,   44.0,
0710200612, 042496, 065247,  104.1,   46.9,
0710200610, 042496, 065037,  123.9,   38.1,
0710200608, 042496, 064807,  150.5,   48.8,
0710200606, 042496, 064545,  174.5,  164.1,
0720200221, 052296, 060931,    5.1,   71.3,
0720200220, 052296, 060826,   15.3,   66.4,
0720200218, 052296, 060707,   24.6,   65.4,
0720200217, 052296, 060554,   35.1,   67.4,
0720200216, 052296, 060452,   44.5,   79.1,
0720200215, 052296, 060328,   61.1,   53.7,
0720200214, 052296, 060206,   75.1,   53.7,
0720200211, 052296, 055826,  105.1,   74.2,
0720200209, 052296, 055600,  125.0,   91.8,
0720200207, 052296, 055332,  149.0,  142.6,
0720200205, 052296, 055052,  175.1,  150.4,
0730200623, 062696, 070517,    4.0,   80.1,
0730200621, 062696, 070357,   14.7,   77.2,
0730200619, 062696, 070225,   24.6,   81.1,
0730200618, 062696, 070111,   35.2,   75.2,
0730200617, 062696, 065955,   45.0,   36.1,
0730200616, 062696, 065833,   59.3,   13.7,
0730200615, 062696, 065721,   74.4,    9.8,
0730200614, 062696, 065607,   84.5,   13.7,
0730200613, 062696, 065503,   94.9,   17.6,
0730200612, 062696, 065357,  104.7,   31.2,
0730200611, 062696, 065249,  114.5,   39.1,
0730200610, 062696, 065131,  124.1,   43.0,
